"","Id_plot","Location","Plots","Treatment","Date","Longitude","Latitude","Elevation","Richness","Abundance","D_Shannon","D_Simpson","Canopy_cover","N_M_Trees_adult","N_M_Eedulis_adult","effort_cam_day_summed","med_lar_mamm_spp_rich","hbvr_body_size_kg"
"158","VGM_p09o","VGM",9,"open",2017,-45.218075,-23.434033,799.570557,6,52,1.639706357,0.782222222,NA,32,13,0,0,0
"159","VGM_p14o","VGM",14,"open",2017,-45.209051,-23.432274,796.607544,6,17,1.506485395,0.710775047,NA,41,10,25,3,220
"160","VGM_p14c","VGM",14,"closed",2017,-45.209074,-23.43222,796.303101,13,33,2.1013568,0.792098765,NA,42,10,1,0,0
"161","VGM_p15o","VGM",15,"open",2017,-45.207126,-23.431526,794.60376,3,23,0.983961446,0.591715976,NA,27,6,8,1,15
"162","VGM_p15c","VGM",15,"closed",2017,-45.207126,-23.431558,794.068726,5,53,1.335807681,0.689655172,NA,34,17,34,0,0
"163","CBO_p04o","CBO",4,"open",2019,-47.990493,-24.066214,826.624512,6,25,1.671595278,0.792899408,64.56,36,0,132,1,0
"164","CBO_p12o","CBO",12,"open",2019,-47.986058,-24.064589,746.259644,5,73,0.599188194,0.266803841,71.97,21,0,59,1,15
"165","CAR_p08c","CAR",8,"closed",2019,-47.930572,-25.098024,33.433784,11,112,1.345166431,0.549795918,90.78,24,2,72,0,0
"166","CAR_p15c","CAR",15,"closed",2019,-47.926935,-25.107237,190.944687,5,44,1.127483235,0.5625,70.02,27,3,102,0,0
"167","ITA_p12c","ITA",12,"closed",2019,-45.079413,-23.311364,1088.24,5,36,1.359236701,0.68,89.68,30,7,135,0,0
"168","ITA_p14c","ITA",14,"closed",2019,-45.074968,-23.310471,1065.73,5,28,1.470808476,0.74,91.65,23,2,198,0,0
"169","ITA_p15c","ITA",15,"closed",2019,-45.072363,-23.310361,1080.55,8,40,1.660407623,0.735,82.6,17,0,154,0,0
"170","VGM_p05o","VGM",5,"open",2019,-45.229778,-23.43515,777.09613,8,30,1.945910149,0.836734694,71.65,33,4,146,3,220
"171","VGM_p14o","VGM",14,"open",2019,-45.209051,-23.432274,796.607544,6,21,1.641734712,0.776859504,71.64,41,10,149,0,0
"172","VGM_p15c","VGM",15,"closed",2019,-45.207126,-23.431558,794.068726,5,47,1.29636116,0.673469388,67.61,34,17,149,0,0
